"","Trial","Bay","Block","Row","Range","Expt","Name","Damage_Level","Experiment_Number"
"136","SFNB15","A",1,2,13,"CAIGE","71:ZID14",6,3
"137","SFNB15","A",1,3,13,"CAIGE","72:ZID14",5,3
"138","SFNB15","A",1,4,13,"CAIGE","73:ZID14",7,3
"139","SFNB15","A",1,5,13,"CAIGE","74:ZID14",6,3
"140","SFNB15","A",1,6,13,"CAIGE","75:ZID14",6,3
"141","SFNB15","A",1,7,13,"CAIGE","76:ZID14",7,3
"142","SFNB15","A",1,8,13,"CAIGE","77:ZID14",7,3
"143","SFNB15","A",1,9,13,"Control","Schooner",5,3
"144","SFNB15","A",1,10,13,"CAIGE","79:ZID14",6,3
"145","SFNB15","A",1,11,13,"CAIGE","81:ZID14",6,3
"146","SFNB15","A",1,12,13,"CAIGE","82:ZID14",7,3
"147","SFNB15","A",1,13,13,"CAIGE","83:ZID14",7,3
"148","SFNB15","A",1,14,13,"CAIGE","84:ZID14",3,3
"149","SFNB15","A",1,15,13,"CAIGE","85:ZID14",6,3
"150","SFNB15","A",1,16,13,"CAIGE","86:ZID14",5,3
"151","SFNB15","A",1,17,13,"Control","Navigator",4,3
"152","SFNB15","A",1,18,13,"CAIGE","87:ZID14",8,3
"153","SFNB15","A",1,19,13,"CAIGE","88:ZID14",7,3
"154","SFNB15","A",1,20,13,"CAIGE","89:ZID14",4,3
"155","SFNB15","A",1,21,13,"CAIGE","91:ZID14",6,3
"156","SFNB15","A",1,22,13,"CAIGE","92:ZID14",5,3
"157","SFNB15","A",1,23,13,"CAIGE","93:ZID14",5,3
"158","SFNB15","A",1,24,13,"Control","Schooner",6,3
"159","SFNB15","A",1,1,14,"Control","Gairdner",6,3
"160","SFNB15","A",1,2,14,"CAIGE","94:ZID14",4,3
"161","SFNB15","A",1,3,14,"CAIGE","95:ZID14",4,3
"162","SFNB15","A",1,4,14,"CAIGE","96:ZID14",4,3
"163","SFNB15","A",1,5,14,"CAIGE","97:ZID14",5,3
"164","SFNB15","A",1,6,14,"CAIGE","98:ZID14",6,3
"165","SFNB15","A",1,7,14,"CAIGE","99:ZID14",7,3
"166","SFNB15","A",1,8,14,"CAIGE","101:ZID14",5,3
"167","SFNB15","A",1,9,14,"Control","Skipper",4,3
"168","SFNB15","A",1,10,14,"CAIGE","102:ZID14",6,3
"169","SFNB15","A",1,11,14,"CAIGE","103:ZID14",5,3
"170","SFNB15","A",1,12,14,"CAIGE","104:ZID14",6,3
"171","SFNB15","A",1,13,14,"CAIGE","105:ZID14",4,3
"172","SFNB15","A",1,14,14,"CAIGE","107:ZID14",7,3
"173","SFNB15","A",1,15,14,"CAIGE","108:ZID14",7,3
"174","SFNB15","A",1,16,14,"CAIGE","109:ZID14",7,3
"175","SFNB15","A",1,17,14,"Control","Dash",7,3
"176","SFNB15","A",1,18,14,"CAIGE","111:ZID14",7,3
"177","SFNB15","A",1,19,14,"CAIGE","112:ZID14",7,3
"178","SFNB15","A",1,20,14,"CAIGE","113:ZID14",8,3
"179","SFNB15","A",1,21,14,"CAIGE","115:ZID14",3,3
"180","SFNB15","A",1,22,14,"CAIGE","116:ZID14",7,3
"181","SFNB15","A",1,23,14,"CAIGE","117:ZID14",6,3
"182","SFNB15","A",1,24,14,"Control","LaTrobe",8,3
"183","SFNB15","A",1,1,15,"Control","LaTrobe",9,3
"184","SFNB15","A",1,2,15,"CAIGE","121:ZID14",6,3
"185","SFNB15","A",1,3,15,"CAIGE","122:ZID14",5,3
"186","SFNB15","A",1,4,15,"CAIGE","123:ZID14",5,3
"187","SFNB15","A",1,5,15,"CAIGE","124:ZID14",5,3
"188","SFNB15","A",1,6,15,"CAIGE","128:ZID14",5,3
"189","SFNB15","A",1,7,15,"CAIGE","129:ZID14",7,3
"190","SFNB15","A",1,8,15,"CAIGE","131:ZID14",6,3
"191","SFNB15","A",1,9,15,"Control","LaTrobe",7,3
"192","SFNB15","A",1,10,15,"CAIGE","132:ZID14",3,3
"193","SFNB15","A",1,11,15,"CAIGE","133:ZID14",5,3
"194","SFNB15","A",1,12,15,"CAIGE","134:ZID14",5,3
"195","SFNB15","A",1,13,15,"CAIGE","135:ZID14",6,3
"196","SFNB15","A",1,14,15,"CAIGE","136:ZID14",3,3
"197","SFNB15","A",1,15,15,"CAIGE","137:ZID14",7,3
"198","SFNB15","A",1,16,15,"CAIGE","138:ZID14",5,3
"199","SFNB15","A",1,17,15,"Control","Hindmarsh",8,3
"200","SFNB15","A",1,18,15,"CAIGE","139:ZID14",7,3
"201","SFNB15","A",1,19,15,"CAIGE","141:ZID14",6,3
"202","SFNB15","A",1,20,15,"CAIGE","142:ZID14",5,3
"203","SFNB15","A",1,21,15,"CAIGE","143:ZID14",5,3
"204","SFNB15","A",1,22,15,"CAIGE","144:ZID14",5,3
"205","SFNB15","A",1,23,15,"CAIGE","145:ZID14",6,3
"206","SFNB15","A",1,24,15,"Control","SY Rattler",8,3
"207","SFNB15","A",1,1,16,"Control","Dash",9,3
"208","SFNB15","A",1,2,16,"CAIGE","147:ZID14",7,3
"209","SFNB15","A",1,3,16,"CAIGE","148:ZID14",5,3
"210","SFNB15","A",1,4,16,"CAIGE","149:ZID14",6,3
"211","SFNB15","A",1,5,16,"CAIGE","Rihane-03",5,3
"212","SFNB15","A",1,6,16,"CAIGE","Parent19",4,3
"213","SFNB '16","B",1,25,6,"Control","Gairdner",6,7
"214","SFNB '16","B",1,26,6,"CAIGE 1","1:LAN15",5,7
"215","SFNB '16","B",1,27,6,"CAIGE 1","3:LAN15",5,7
"216","SFNB '16","B",1,28,6,"CAIGE 1","4:LAN15",6,7
"217","SFNB '16","B",1,29,6,"CAIGE 1","6:LAN15",5,7
"218","SFNB '16","B",1,30,6,"CAIGE 1","7:LAN15",6,7
"219","SFNB '16","B",1,31,6,"CAIGE 1","8:LAN15",3,7
"220","SFNB '16","B",1,32,6,"CAIGE 1","10:LAN15",5,7
"221","SFNB '16","B",1,33,6,"Control","Hindmarsh",8,7
"222","SFNB '16","B",1,34,6,"CAIGE 1","13:LAN15",6,7
"223","SFNB '16","B",1,35,6,"CAIGE 1","14:LAN15",6,7
"224","SFNB '16","B",1,36,6,"CAIGE 1","16:LAN15",6,7
"225","SFNB '16","B",1,37,6,"CAIGE 1","18:LAN15",5,7
"226","SFNB '16","B",1,38,6,"CAIGE 1","19:LAN15",6,7
"227","SFNB '16","B",1,39,6,"CAIGE 1","20:LAN15",6,7
"228","SFNB '16","B",1,40,6,"CAIGE 1","22:LAN15",6,7
"229","SFNB '16","B",1,41,6,"Control","Dash",8,7
"230","SFNB '16","B",1,42,6,"CAIGE 1","23:LAN15",5,7
"231","SFNB '16","B",1,43,6,"CAIGE 1","25:LAN15",6,7
"232","SFNB '16","B",1,44,6,"CAIGE 1","1:ZBS15",5,7
"233","SFNB '16","B",1,45,6,"CAIGE 1","3:ZBS15",4,7
"234","SFNB '16","B",1,46,6,"CAIGE 1","4:ZBS15",5,7
"235","SFNB '16","B",1,47,6,"CAIGE 1","5:ZBS15",6,7
"236","SFNB '16","B",1,48,6,"Control","Buloke",6,7
"237","SFNB '16","B",1,25,7,"Control","Dash",8,7
"238","SFNB '16","B",1,26,7,"CAIGE 1","6:ZBS15",5,7
"239","SFNB '16","B",1,27,7,"CAIGE 1","7:ZBS15",5,7
"240","SFNB '16","B",1,28,7,"CAIGE 1","8:ZBS15",5,7
"241","SFNB '16","B",1,30,7,"CAIGE 1","10:ZBS15",6,7
"242","SFNB '16","B",1,31,7,"CAIGE 1","11:ZBS15",6,7
"243","SFNB '16","B",1,32,7,"CAIGE 1","12:ZBS15",5,7
"244","SFNB '16","B",1,33,7,"Control","SY Rattler",7,7
"245","SFNB '16","B",1,34,7,"CAIGE 1","16:ZBS15",5,7
"246","SFNB '16","B",1,35,7,"CAIGE 1","18:ZBS15",4,7
"247","SFNB '16","B",1,36,7,"CAIGE 1","20:ZBS15",4,7
"248","SFNB '16","B",1,37,7,"CAIGE 1","21:ZBS15",5,7
"249","SFNB '16","B",1,38,7,"CAIGE 1","23:ZBS15",5,7
"250","SFNB '16","B",1,39,7,"CAIGE 1","24:ZBS15",4,7
"251","SFNB '16","B",1,40,7,"CAIGE 1","25:ZBS15",5,7
"252","SFNB '16","B",1,41,7,"Control","La Trobe",6,7
"253","SFNB '16","B",1,42,7,"CAIGE 1","28:ZBS15",5,7
"254","SFNB '16","B",1,44,7,"CAIGE 1","31:ZBS15",8,7
"255","SFNB '16","B",1,45,7,"CAIGE 1","32:ZBS15",6,7
"256","SFNB '16","B",1,46,7,"CAIGE 1","33:ZBS15",4,7
"257","SFNB '16","B",1,47,7,"CAIGE 1","34:ZBS15",7,7
"258","SFNB '16","B",1,48,7,"Control","Gairdner",7,7
"259","SFNB '16","B",1,25,8,"Control","Dash",8,7
"260","SFNB '16","B",1,26,8,"CAIGE 1","36:ZBS15",7,7
"261","SFNB '16","B",1,27,8,"CAIGE 1","37:ZBS15",5,7
"262","SFNB '16","B",1,28,8,"CAIGE 1","38:ZBS15",7,7
"263","SFNB '16","B",1,29,8,"CAIGE 1","39:ZBS15",7,7
"264","SFNB '16","B",1,30,8,"CAIGE 1","40:ZBS15",7,7
"265","SFNB '16","B",1,31,8,"CAIGE 1","42:ZBS15",6,7
"266","SFNB '16","B",1,32,8,"CAIGE 1","43:ZBS15",5,7
"267","SFNB '16","B",1,33,8,"Control","Fathom",3,7
"268","SFNB '16","B",1,34,8,"CAIGE 1","44:ZBS15",6,7
"269","SFNB '16","B",1,35,8,"CAIGE 1","46:ZBS15",5,7
"270","SFNB '16","B",1,36,8,"CAIGE 1","47:ZBS15",7,7
"271","SFNB '16","B",1,37,8,"CAIGE 1","51:ZBS15",7,7
"272","SFNB '16","B",1,38,8,"CAIGE 1","54:ZBS15",6,7
"273","SFNB '16","B",1,39,8,"CAIGE 1","55:ZBS15",5,7
"274","SFNB '16","B",1,40,8,"CAIGE 1","56:ZBS15",7,7
"275","SFNB '16","B",1,41,8,"Control","Hindmarsh",8,7
"276","SFNB '16","B",1,42,8,"CAIGE 1","57:ZBS15",6,7
"277","SFNB '16","B",1,43,8,"CAIGE 1","58:ZBS15",6,7
"278","SFNB '16","B",1,44,8,"CAIGE 1","59:ZBS15",6,7
"279","SFNB '16","B",1,45,8,"CAIGE 1","61:ZBS15",5,7
"280","SFNB '16","B",1,46,8,"CAIGE 1","62:ZBS15",6,7
"281","SFNB '16","B",1,47,8,"CAIGE 1","63:ZBS15",6,7
"282","SFNB '16","B",1,48,8,"Control","Buloke",6,7
"283","SFNB '16","B",1,25,9,"Control","SY Rattler",7,7
"284","SFNB '16","B",1,26,9,"CAIGE 1","64:ZBS15",6,7
"285","SFNB '16","B",1,27,9,"CAIGE 1","65:ZBS15",6,7
"286","SFNB '16","B",1,28,9,"CAIGE 1","66:ZBS15",6,7
"287","SFNB '16","B",1,29,9,"CAIGE 1","67:ZBS15",6,7
"288","SFNB '16","B",1,30,9,"CAIGE 1","68:ZBS15",6,7
"289","SFNB '16","B",1,31,9,"CAIGE 1","69:ZBS15",6,7
"290","SFNB '16","B",1,32,9,"CAIGE 1","70:ZBS15",7,7
"291","SFNB '16","B",1,33,9,"Control","SY Rattler",6,7
"292","SFNB '16","B",1,34,9,"CAIGE 1","71:ZBS15",7,7
"293","SFNB '16","B",1,35,9,"CAIGE 1","72:ZBS15",6,7
"294","SFNB '16","B",1,36,9,"CAIGE 1","74:ZBS15",6,7
"295","SFNB '16","B",1,37,9,"CAIGE 1","75:ZBS15",6,7
"296","SFNB '16","B",1,38,9,"CAIGE 1","76:ZBS15",4,7
"297","SFNB '16","B",1,39,9,"CAIGE 1","79:ZBS15",7,7
"298","SFNB '16","B",1,40,9,"CAIGE 1","80:ZBS15",5,7
"299","SFNB '16","B",1,41,9,"Control","Dash",8,7
"300","SFNB '16","B",1,42,9,"CAIGE 1","82:ZBS15",6,7
"301","SFNB '16","B",1,43,9,"CAIGE 1","83:ZBS15",6,7
"302","SFNB '16","B",1,44,9,"CAIGE 1","84:ZBS15",6,7
"303","SFNB '16","B",1,45,9,"CAIGE 1","85:ZBS15",3,7
"304","SFNB '16","B",1,46,9,"CAIGE 1","86:ZBS15",6,7
"305","SFNB '16","B",1,47,9,"CAIGE 1","87:ZBS15",6,7
"306","SFNB '16","B",1,48,9,"Control","La Trobe",6,7
"307","SFNB '16","B",1,25,10,"Control","Keel ",3,7
"308","SFNB '16","B",1,26,10,"CAIGE 1","88:ZBS15",6,7
"309","SFNB '16","B",1,27,10,"CAIGE 1","89:ZBS15",6,7
"310","SFNB '16","B",1,28,10,"CAIGE 1","90:ZBS15",6,7
"311","SFNB '16","B",1,29,10,"CAIGE 1","2:ZIB15",8,7
"312","SFNB '16","B",1,30,10,"CAIGE 1","3:ZIB15",7,7
"313","SFNB '16","B",1,31,10,"CAIGE 1","4:ZIB15",7,7
"314","SFNB '16","B",1,32,10,"CAIGE 1","6:ZIB15",7,7
"315","SFNB '16","B",1,33,10,"Control","Compass",6,7
"316","SFNB '16","B",1,34,10,"CAIGE 1","7:ZIB15",7,7
"317","SFNB '16","B",1,35,10,"CAIGE 1","8:ZIB15",7,7
"318","SFNB '16","B",1,36,10,"CAIGE 1","9:ZIB15",6,7
"319","SFNB '16","B",1,37,10,"CAIGE 1","10:ZIB15",6,7
"320","SFNB '16","B",1,38,10,"CAIGE 1","11:ZIB15",3,7
"321","SFNB '16","B",1,39,10,"CAIGE 1","13:ZIB15",4,7
"322","SFNB '16","B",1,40,10,"CAIGE 1","14:ZIB15",7,7
"323","SFNB '16","B",1,41,10,"Control","Schooner",6,7
"324","SFNB '16","B",1,42,10,"CAIGE 1","15:ZIB15",5,7
"325","SFNB '16","B",1,43,10,"CAIGE 1","16:ZIB15",6,7
"326","SFNB '16","B",1,44,10,"CAIGE 1","17:ZIB15",5,7
"327","SFNB '16","B",1,45,10,"CAIGE 1","18:ZIB15",4,7
"328","SFNB '16","B",1,46,10,"CAIGE 1","19:ZIB15",6,7
"329","SFNB '16","B",1,47,10,"CAIGE 1","20:ZIB15",6,7
"330","SFNB '16","B",1,48,10,"Control","La Trobe",6,7
"331","SFNB '16","B",1,25,12,"Control","Fleet",4,7
"332","SFNB '16","B",1,26,12,"CAIGE 1","21:ZIB15",3,7
"333","SFNB '16","B",1,27,12,"CAIGE 1","22:ZIB15",5,7
"334","SFNB '16","B",1,28,12,"CAIGE 1","23:ZIB15",4,7
"335","SFNB '16","B",1,29,12,"CAIGE 1","24:ZIB15",6,7
"336","SFNB '16","B",1,30,12,"CAIGE 1","1:ZIC15",6,7
"337","SFNB '16","B",1,31,12,"CAIGE 1","3:ZIC15",6,7
"338","SFNB '16","B",1,32,12,"CAIGE 1","4:ZIC15",8,7
"339","SFNB '16","B",1,33,12,"Control","La Trobe",8,7
"340","SFNB '16","B",1,34,12,"CAIGE 1","5:ZIC15",6,7
"341","SFNB '16","B",1,35,12,"CAIGE 1","6:ZIC15",6,7
"342","SFNB '16","B",1,36,12,"CAIGE 1","7:ZIC15",5,7
"343","SFNB '16","B",1,37,12,"CAIGE 1","8:ZIC15",6,7
"344","SFNB '16","B",1,38,12,"CAIGE 1","9:ZIC15",6,7
"345","SFNB '16","B",1,39,12,"CAIGE 1","10:ZIC15",6,7
"346","SFNB '16","B",1,40,12,"CAIGE 1","12:ZIC15",7,7
"347","SFNB '16","B",1,41,12,"Control","SY Rattler",7,7
"348","SFNB '16","B",1,42,12,"CAIGE 1","13:ZIC15",6,7
"349","SFNB '16","B",1,43,12,"CAIGE 1","14:ZIC15",6,7
"350","SFNB '16","B",1,44,12,"CAIGE 1","15:ZIC15",7,7
"351","SFNB '16","B",1,45,12,"CAIGE 1","16:ZIC15",6,7
"352","SFNB '16","B",1,46,12,"CAIGE 1","17:ZIC15",6,7
"353","SFNB '16","B",1,47,12,"CAIGE 1","19:ZIC15",6,7
"354","SFNB '16","B",1,48,12,"Control","Buloke",6,7
"355","SFNB '16","B",1,25,13,"Control","Fleet",4,7
"356","SFNB '16","B",1,26,13,"CAIGE 1","20:ZIC15",6,7
