Trial,Bay,Block,Row,Range,Expt_15,Name,Scald 25/08/2015
Scald,D,1,88,10,CAIGE,27:ZID14,8
Scald,D,1,89,10,Control,Compass,8
Scald,D,1,90,10,CAIGE,28:ZID14,6
Scald,D,1,91,10,CAIGE,29:ZID14,8
Scald,D,1,92,10,CAIGE,31:ZID14,8
Scald,D,1,93,10,CAIGE,32:ZID14,8
Scald,D,1,94,10,CAIGE,33:ZID14,6
Scald,D,1,95,10,CAIGE,34:ZID14,6
Scald,D,1,96,10,Control,LaTrobe,1
Scald,D,1,73,12,Control,Skipper,7
Scald,D,1,74,12,CAIGE,35:ZID14,7
Scald,D,1,75,12,CAIGE,36:ZID14,8
Scald,D,1,76,12,CAIGE,37:ZID14,7
Scald,D,1,77,12,CAIGE,38:ZID14,6
Scald,D,1,78,12,CAIGE,39:ZID14,8
Scald,D,1,79,12,CAIGE,41:ZID14,7
Scald,D,1,80,12,CAIGE,42:ZID14,7
Scald,D,1,81,12,Control,Westminster,7
Scald,D,1,82,12,CAIGE,43:ZID14,7
Scald,D,1,83,12,CAIGE,44:ZID14,8
Scald,D,1,84,12,CAIGE,45:ZID14,8
Scald,D,1,85,12,CAIGE,46:ZID14,8
Scald,D,1,86,12,CAIGE,47:ZID14,8
Scald,D,1,87,12,CAIGE,48:ZID14,8
Scald,D,1,88,12,CAIGE,49:ZID14,6
Scald,D,1,89,12,Control,Commander,7
Scald,D,1,90,12,CAIGE,51:ZID14,8
Scald,D,1,91,12,CAIGE,52:ZID14,7
Scald,D,1,92,12,CAIGE,53:ZID14,5
Scald,D,1,93,12,CAIGE,54:ZID14,7
Scald,D,1,94,12,CAIGE,55:ZID14,7
Scald,D,1,95,12,CAIGE,57:ZID14,7
Scald,D,1,96,12,Control,Gairdner,7
Scald,D,1,73,13,Control,Hindmarsh,1
Scald,D,1,74,13,CAIGE,58:ZID14,6
Scald,D,1,75,13,CAIGE,59:ZID14,7
Scald,D,1,76,13,CAIGE,61:ZID14,7
Scald,D,1,77,13,CAIGE,62:ZID14,8
Scald,D,1,78,13,CAIGE,63:ZID14,7
Scald,D,1,79,13,CAIGE,64:ZID14,7
Scald,D,1,80,13,CAIGE,65:ZID14,7
Scald,D,1,81,13,Control,buloke,8
Scald,D,1,82,13,CAIGE,66:ZID14,7
Scald,D,1,83,13,CAIGE,67:ZID14,5
Scald,D,1,84,13,CAIGE,68:ZID14,4
Scald,D,1,85,13,CAIGE,69:ZID14,7
Scald,D,1,86,13,CAIGE,71:ZID14,6
Scald,D,1,87,13,CAIGE,72:ZID14,8
Scald,D,1,88,13,CAIGE,73:ZID14,7
Scald,D,1,89,13,Control,Yagan,8
Scald,D,1,90,13,CAIGE,74:ZID14,7
Scald,D,1,91,13,CAIGE,75:ZID14,8
Scald,D,1,92,13,CAIGE,76:ZID14,8
Scald,D,1,93,13,CAIGE,77:ZID14,8
Scald,D,1,94,13,CAIGE,79:ZID14,8
Scald,D,1,95,13,CAIGE,81:ZID14,7
Scald,D,1,96,13,Control,Schooner,6
Scald,D,1,73,14,Control,Gairdner,8
Scald,D,1,74,14,CAIGE,82:ZID14,8
Scald,D,1,75,14,CAIGE,83:ZID14,8
Scald,D,1,76,14,CAIGE,84:ZID14,3
Scald,D,1,77,14,CAIGE,85:ZID14,8
Scald,D,1,78,14,CAIGE,86:ZID14,8
Scald,D,1,79,14,CAIGE,87:ZID14,8
Scald,D,1,80,14,CAIGE,88:ZID14,8
Scald,D,1,81,14,Control,Compass,8
Scald,D,1,82,14,CAIGE,89:ZID14,8
Scald,D,1,83,14,CAIGE,91:ZID14,7
Scald,D,1,84,14,CAIGE,92:ZID14,8
Scald,D,1,85,14,CAIGE,93:ZID14,8
Scald,D,1,86,14,CAIGE,94:ZID14,8
Scald,D,1,87,14,CAIGE,95:ZID14,8
Scald,D,1,88,14,CAIGE,96:ZID14,8
Scald,D,1,89,14,Control,Yagan,8
Scald,D,1,90,14,CAIGE,97:ZID14,8
Scald,D,1,91,14,CAIGE,98:ZID14,7
Scald,D,1,92,14,CAIGE,99:ZID14,7
Scald,D,1,93,14,CAIGE,101:ZID14,8
Scald,D,1,94,14,CAIGE,102:ZID14,7
Scald,D,1,95,14,CAIGE,103:ZID14,6
Scald,D,1,96,14,Control,Schooner,7
Scald,D,1,73,15,Control,Schooner,7
Scald,D,1,74,15,CAIGE,104:ZID14,7
Scald,D,1,75,15,CAIGE,105:ZID14,8
Scald,D,1,76,15,CAIGE,107:ZID14,3
Scald,D,1,77,15,CAIGE,108:ZID14,4
Scald,D,1,78,15,CAIGE,109:ZID14,7
Scald,D,1,79,15,CAIGE,111:ZID14,7
Scald,D,1,80,15,CAIGE,112:ZID14,7
Scald,D,1,81,15,Control,Scope,8
Scald,D,1,82,15,CAIGE,113:ZID14,7
Scald,D,1,83,15,CAIGE,115:ZID14,7
Scald,D,1,84,15,CAIGE,116:ZID14,4
Scald,D,1,85,15,CAIGE,117:ZID14,7
Scald,D,1,86,15,CAIGE,121:ZID14,6
Scald,D,1,87,15,CAIGE,122:ZID14,3
Scald,D,1,88,15,CAIGE,123:ZID14,8
Scald,D,1,89,15,Control,Baudin,8
Scald,D,1,90,15,CAIGE,124:ZID14,5
Scald,D,1,91,15,CAIGE,128:ZID14,8
Scald,D,1,92,15,CAIGE,129:ZID14,5
Scald,D,1,93,15,CAIGE,131:ZID14,8
Scald,D,1,94,15,CAIGE,132:ZID14,8
Scald,D,1,95,15,CAIGE,133:ZID14,8
Scald,D,1,96,15,Control,Hindmarsh,1
Scald,D,1,73,16,Control,Yagan,8
Scald,D,1,74,16,CAIGE,134:ZID14,8
Scald,D,1,75,16,CAIGE,135:ZID14,8
Scald,D,1,76,16,CAIGE,136:ZID14,4
Scald,D,1,77,16,CAIGE,137:ZID14,6
Scald,D,1,78,16,CAIGE,138:ZID14,4
Scald,D,1,79,16,CAIGE,139:ZID14,7
Scald,D,1,80,16,CAIGE,141:ZID14,8
Scald,D,1,81,16,Control,LaTrobe,2
Scald,D,1,82,16,CAIGE,142:ZID14,7
Scald,D,1,83,16,CAIGE,143:ZID14,6
Scald,D,1,84,16,CAIGE,144:ZID14,7
Scald,D,1,85,16,CAIGE,145:ZID14,6
Scald,D,1,86,16,CAIGE,147:ZID14,2
Scald,D,1,87,16,CAIGE,148:ZID14,7
Scald,D,1,88,16,CAIGE,149:ZID14,7
Scald,D,1,89,16,Control,Hindmarsh,1
Scald,D,1,90,16,CAIGE,Rihane-03,6
Scald,D,1,91,16,CAIGE,Parent19,6
