Trial,Bay,Block,Row,Range,Expt_15,Name,NFNB Z55-61 MM
15NFNB,D,1,75,16,CAIGE,69:ZID14,2
15NFNB,D,1,76,16,CAIGE,71:ZID14,3
15NFNB,D,1,77,16,Control,VB9613,8
15NFNB,D,1,78,16,CAIGE,72:ZID14,4
15NFNB,D,1,79,16,CAIGE,73:ZID14,3
15NFNB,D,1,80,16,CAIGE,74:ZID14,4
15NFNB,D,1,81,16,Control,VB9613,8
15NFNB,D,1,82,16,CAIGE,75:ZID14,4
15NFNB,D,1,83,16,CAIGE,76:ZID14,4
15NFNB,D,1,84,16,CAIGE,77:ZID14,3
15NFNB,D,1,85,16,Control,VB9613,8
15NFNB,D,1,86,16,CAIGE,79:ZID14,3
15NFNB,D,1,87,16,CAIGE,81:ZID14,1
15NFNB,D,1,88,16,CAIGE,82:ZID14,4
15NFNB,D,1,89,16,Control,Fathom,6
15NFNB,D,1,90,16,CAIGE,83:ZID14,3
15NFNB,D,1,91,16,CAIGE,84:ZID14,3
15NFNB,D,1,92,16,CAIGE,85:ZID14,2
15NFNB,D,1,93,16,Control,VB9613,8
15NFNB,D,1,94,16,CAIGE,86:ZID14,3
15NFNB,D,1,95,16,CAIGE,87:ZID14,2
15NFNB,D,1,96,16,Control,VB9613,8
15NFNB,D,1,73,17,Control,VB9613,8
15NFNB,D,1,74,17,CAIGE,88:ZID14,2
15NFNB,D,1,75,17,CAIGE,89:ZID14,1
15NFNB,D,1,76,17,CAIGE,91:ZID14,2
15NFNB,D,1,77,17,Control,VB9613,8
15NFNB,D,1,78,17,CAIGE,92:ZID14,3
15NFNB,D,1,79,17,CAIGE,93:ZID14,2
15NFNB,D,1,80,17,CAIGE,94:ZID14,2
15NFNB,D,1,81,17,Control,Bass,6
15NFNB,D,1,82,17,CAIGE,95:ZID14,2
15NFNB,D,1,83,17,CAIGE,96:ZID14,2
15NFNB,D,1,84,17,CAIGE,97:ZID14,3
15NFNB,D,1,85,17,Control,VB9613,8
15NFNB,D,1,86,17,CAIGE,98:ZID14,2
15NFNB,D,1,87,17,CAIGE,99:ZID14,2
15NFNB,D,1,88,17,CAIGE,101:ZID14,3
15NFNB,D,1,89,17,Control,Commander,4
15NFNB,D,1,90,17,CAIGE,102:ZID14,3
15NFNB,D,1,91,17,CAIGE,103:ZID14,2
15NFNB,D,1,92,17,CAIGE,104:ZID14,3
15NFNB,D,1,93,17,Control,VB9613,8
15NFNB,D,1,94,17,CAIGE,105:ZID14,2
15NFNB,D,1,95,17,CAIGE,107:ZID14,2
15NFNB,D,1,96,17,Control,Compass,4
15NFNB,D,1,73,18,Control,Flinders,5
15NFNB,D,1,74,18,CAIGE,108:ZID14,2
15NFNB,D,1,75,18,CAIGE,109:ZID14,1
15NFNB,D,1,76,18,CAIGE,111:ZID14,1
15NFNB,D,1,77,18,Control,VB9613,7
15NFNB,D,1,78,18,CAIGE,112:ZID14,2
15NFNB,D,1,79,18,CAIGE,113:ZID14,2
15NFNB,D,1,80,18,CAIGE,115:ZID14,3
15NFNB,D,1,81,18,Control,VB9613,8
15NFNB,D,1,82,18,CAIGE,116:ZID14,2
15NFNB,D,1,83,18,CAIGE,117:ZID14,2
15NFNB,D,1,84,18,CAIGE,121:ZID14,3
15NFNB,D,1,85,18,Control,VB9613,8
15NFNB,D,1,86,18,CAIGE,122:ZID14,7
15NFNB,D,1,87,18,CAIGE,123:ZID14,5
15NFNB,D,1,88,18,CAIGE,124:ZID14,4
15NFNB,D,1,89,18,Control,VB9613,8
15NFNB,D,1,90,18,CAIGE,128:ZID14,4
15NFNB,D,1,91,18,CAIGE,129:ZID14,1
15NFNB,D,1,92,18,CAIGE,131:ZID14,2
15NFNB,D,1,93,18,Control,VB9613,8
15NFNB,D,1,94,18,CAIGE,132:ZID14,7
15NFNB,D,1,95,18,CAIGE,133:ZID14,6
15NFNB,D,1,96,18,Control,VB9613,8
15NFNB,D,1,73,19,Control,VB9613,8
15NFNB,D,1,74,19,CAIGE,134:ZID14,1
15NFNB,D,1,75,19,CAIGE,135:ZID14,1
