Trial,Bay,Block,Row,Range,Expt_15,Name,scald 12/9/16 Z33-7,Scald 5/10/16 Z55-65
Scald,B,1,46,15,CAIGE 2,52:ZID14,6,6
Scald,B,1,47,15,CAIGE 2,54:ZID14,4,6
Scald,B,1,48,15,Control,buloke,-,-
Scald,B,1,25,16,Control,Schooner,6,6
Scald,B,1,26,16,CAIGE 2,63:ZID14,5,5
Scald,B,1,27,16,CAIGE 2,74:ZID14,6,7
Scald,B,1,28,16,CAIGE 2,75:ZID14,7,8
Scald,B,1,29,16,CAIGE 2,77:ZID14,6,8
Scald,B,1,30,16,CAIGE 2,83:ZID14,6,8
Scald,B,1,31,16,CAIGE 2,86:ZID14,7,8
Scald,B,1,32,16,CAIGE 2,109:ZID14,7,8
Scald,B,1,33,16,Control,Gairdner,8,8
Scald,B,1,34,16,CAIGE 2,122:ZID14,2,5
Scald,B,1,35,16,CAIGE 2,123:ZID14,7,7
Scald,B,1,36,16,CAIGE 2,128:ZID14,6,8
Scald,B,1,37,16,CAIGE 2,132:ZID14,7,7
Scald,B,1,38,16,CAIGE 2,133:ZID14,7,8
Scald,B,1,39,16,CAIGE 2,136:ZID14,2,5
Scald,B,1,40,16,CAIGE 2,144:ZID14,6,6
Scald,B,1,41,16,Control,Compass,7,8
Scald,B,1,42,16,CAIGE 2,148:ZID14,7,8
Scald,B,1,43,16,CAIGE 2,149:ZID14,7,9
